,1001,2001,3001,4001,5001,6001,7001,8001,9001,10001,11001,12001,13001,14001,15001,16001,17001,18001,19001,20001,21001,22001,23001,24001,25001,26001,27001,28001,29001,30001,31001,32001,33001,34001,35001,36001,37001,38001,39001,40001,41001,42001,43001,44001,45001,46001,47001,48001,49001,50001,51001,52001,53001,54001,55001,56001,57001,58001,59001,60001,61001,62001,63001,64001,65001,66001,67001,68001,69001,70001,71001,72001,73001,74001,75001,76001,77001,78001,79001,80001,81001,82001,83001,84001,85001,86001,87001,88001,89001,90001,91001,92001,93001,94001,95001,96001,97001,98001,99001,100001
1,999,1999,2999,3999,4999,5999,6999,7999,8999,9999,10999,11999,12999,13999,14999,15999,16999,17999,18999,19999,20999,21999,22999,23999,24999,25999,26999,27999,28999,29999,30999,31999,32999,33999,34999,35999,36999,37999,38999,39999,40999,41999,42999,43999,44999,45999,46999,47999,48999,49999,50999,51999,52999,53999,54999,55999,56999,57999,58999,59999,60999,61999,62999,63999,64999,65999,66999,67999,68999,69999,70999,71999,72999,73999,74999,75999,76999,77999,78999,79999,80999,81999,82999,83999,84999,85999,86999,87999,88999,89999,90999,91999,92999,93999,94999,95999,96999,97999,98999,99999
2,6054,13499,21465,29782,38357,47102,56040,65120,74311,83644,93045,102540,112151,121789,131533,141339,151199,161115,171104,181148,191213,201345,211524,221737,232013,242314,252633,263016,273443,283876,294367,304873,315404,325983,336606,347208,357895,368571,379282,390028,400783,411553,422374,433216,444073,454947,465885,476774,487722,498696,509668,520687,531711,542721,553821,564873,575971,587099,598233,609363,620551,631721,642895,654131,665373,676567,687883,699125,710405,721731,733041,744361,755727,767085,778444,789848,801232,812638,824080,835509,846947,858419,869933,881374,892884,904396,915917,927457,939003,950556,962116,973682,985269,996921,1008491,1020110,1031742,1043392,1055019,1066715
3,19611,48868,82445,118980,157848,198511,240789,284380,329218,375167,422121,469978,518668,568171,618361,669290,720856,773027,825753,879041,932886,987310,1042105,1097437,1153224,1209506,1266010,1323030,1380543,1438185,1496454,1554973,1613827,1673000,1732595,1792397,1852590,1913059,1973817,2034714,2096184,2157687,2219788,2281959,2344325,2406860,2470019,2533029,2596309,2660079,2723850,2788148,2852373,2916898,2981769,3046636,3111826,3177248,3242728,3308406,3374367,3440643,3506923,3573575,3640403,3706987,3774212,3841546,3908945,3976625,4044350,4112254,4180332,4248645,4317097,4385720,4454404,4523406,4592433,4661514,4731087,4800490,4870242,4939923,5009912,5080181,5150103,5220783,5291165,5361754,5432769,5503543,5574420,5645818,5716914,5788525,5859857,5931630,6003502,6075459
4,41264,115987,208531,314114,430193,554810,687055,826000,970913,1121220,1276570,1436949,1601411,1769838,1942281,2118564,2297942,2481058,2666912,2855887,3047675,3242405,3439858,3639798,3842540,4047579,4254773,4463869,4675877,4889644,5105731,5323406,5543662,5765090,5989199,6214750,6442306,6671249,6902179,7134573,7368929,7604528,7842507,8081356,8321962,8563520,8807510,9052034,9297912,9546316,9794735,10045884,10298013,10550659,10804864,11060605,11317585,11575625,11834713,12095109,12356067,12619956,12883940,13148886,13415643,13682134,13950998,14220981,14491409,14763225,15035590,15309244,15584040,15859794,16136667,16414020,16693030,16972737,17253431,17534729,17817340,18100733,18385187,18670159,18955897,19243793,19530446,19820034,20109362,20400024,20691708,20983789,21275695,21570266,21864579,22159914,22455875,22753124,23050581,23349639
5,61152,197040,380232,600201,850878,1127931,1428526,1750566,2091785,2450911,2827075,3219070,3625276,4045902,4479794,4926183,5384855,5855672,6336979,6829386,7331724,7844858,8367013,8899119,9440320,9989946,10548545,11115619,11691160,12274188,12865461,13463349,14070299,14683062,15304255,15931224,16565585,17207030,17854306,18508665,19169608,19836287,20509046,21188259,21872848,22563353,23260559,23962070,24669746,25382935,26101514,26825539,27555572,28288538,29028561,29773186,30522587,31277024,32035979,32799786,33567829,34342024,35120222,35903033,36690634,37480683,38276789,39078323,39882845,40691653,41504724,42322299,43143178,43969280,44797776,45632286,46470167,47311547,48157440,49007395,49859536,50717242,51578029,52441590,53309869,54183134,55057353,55936759,56819376,57704943,58596066,59489454,60384692,61284901,62188725,63095584,64005489,64919330,65835305,66755590
6,66626,250142,521987,867881,1278019,1745876,2266165,2835293,3449332,4106181,4803078,5537915,6308877,7115595,7955105,8825538,9727898,10659388,11620878,12609889,13625586,14668375,15736337,16828486,17946600,19087444,20251168,21439312,22649271,23880178,25132364,26406305,27700146,29014858,30348494,31701998,33073966,34466571,35875580,37304492,38749858,40215073,41694734,43192828,44708382,46239775,47788018,49352599,50933375,52529166,54142033,55768806,57411079,59068512,60741634,62429025,64131218,65846030,67577905,69321098,71079671,72851906,74638809,76437318,78248339,80076041,81915665,83766970,85632519,87509209,89400947,91302593,93217164,95147008,97083128,99036035,100999381,102976186,104963524,106964215,108972768,110995922,113029924,115073152,117131141,119198757,121275980,123365850,125467251,127576815,129701369,131832546,133974743,136128958,138294096,140467778,142652405,144850065,147053273,149268978
7,54271,242126,551905,971807,1493358,2109033,2813347,3601710,4468803,5412851,6429837,7516038,8670341,9891630,11175223,12520035,13925406,15388368,16907487,18484851,20114637,21796914,23533034,25318185,27153901,29038818,30971267,32950678,34977368,37049154,39164579,41327220,43529947,45777071,48066543,50398130,52768580,55182002,57634515,60127403,62657777,65226544,67833882,70479581,73162255,75879809,78635285,81426042,84253717,87115840,90011252,92942292,95908296,98906997,101939836,105005545,108105077,111234913,114399870,117593598,120821656,124081249,127369938,130688822,134040084,137424899,140835266,144276754,147746930,151247230,154781444,158339144,161925219,165541832,169185546,172858926,176560639,180291357,184045406,187830706,191639777,195477598,199343395,203234360,207154389,211099619,215067181,219064530,223087699,227133889,231208412,235309416,239434247,243583974,247760580,251957413,256181268,260430393,264702058,269001101
8,33103,180321,454433,853848,1376291,2016652,2773044,3641579,4618169,5701539,6888656,8176009,9562144,11046526,12624129,14296073,16059064,17911179,19850445,21878122,23989918,26186567,28467635,30827615,33268211,35790610,38390068,41066547,43819235,46647870,49551363,52528831,55578622,58699850,61895549,65158380,68493017,71896765,75368876,78907723,82517333,86187827,89927505,93736412,97604861,101540085,105539591,109599269,113723752,117913453,122159025,126469368,130843122,135271941,139762783,144317366,148926668,153593932,158321723,163107222,167948597,172848400,177803948,182818313,187889158,193011478,198190510,203426768,208712075,214055979,219458036,224909623,230413085,235972756,241584356,247246414,252962573,258728345,264547216,270419876,276339321,282307234,288333333,294406752,300533531,306706159,312927843,319197710,325520670,331889149,338307332,344777408,351291953,357852962,364464095,371120486,377826016,384579809,391381036,398227148
9,14922,103169,291775,590958,1005101,1535769,2184367,2950378,3834736,4835756,5953732,7186576,8534851,9997241,11571196,13258194,15058266,16965222,18983750,21111225,23344228,25686407,28133938,30686440,33342647,36105616,38968268,41933754,45003369,48169525,51439051,54805767,58273083,61839128,65503237,69259033,73116201,77067992,81112063,85252305,89490001,93818085,98238769,102752420,107356838,112054477,116844912,121720133,126687234,131750068,136894674,142129420,147453904,152864726,158360695,163948901,169619459,175377668,181221692,187149766,193163988,199260260,205442171,211709267,218059935,224488269,231002544,237604404,244279532,251040109,257884995,264803018,271808492,278895554,286056066,293298880,300624414,308022349,315504506,323066958,330701148,338413539,346210573,354079802,362026305,370048651,378150392,386323546,394581686,402904512,411309574,419792672,428344599,436972309,445677241,454454579,463302593,472228360,481229512,490299468
